transaction_id,timestamp,vendor_name,amount,category,status
TXN-001,2025-06-01T09:00:00,AWS,1200.00,Infrastructure,completed
TXN-002,2025-06-01T10:30:00,SendGrid,450.00,Communication,completed
TXN-003,2025-06-02T08:00:00,HubSpot,2200.00,Marketing,completed
TXN-004,2025-06-02T14:00:00,Stripe,890.00,Payments,completed
TXN-005,2025-06-03T11:00:00,Datadog,1800.00,Analytics,completed
TXN-006,2025-06-04T09:30:00,AWS,950.00,Infrastructure,completed
TXN-007,2025-06-05T16:00:00,GCP,2100.00,Infrastructure,completed
TXN-008,2025-06-06T08:45:00,Stripe,1250.00,Payments,completed
TXN-009,2025-06-07T12:00:00,Snowflake,3200.00,Analytics,completed
TXN-010,2025-06-08T10:00:00,Vercel,680.00,Infrastructure,completed
TXN-011,2025-06-09T14:30:00,AWS,1100.00,Infrastructure,completed
TXN-012,2025-06-10T09:00:00,SendGrid,520.00,Communication,completed
TXN-013,2025-06-11T11:00:00,HubSpot,4500.00,Marketing,completed
TXN-014,2025-06-12T08:30:00,Stripe,2100.00,Payments,completed
TXN-015,2025-06-13T15:00:00,Datadog,1650.00,Analytics,completed
TXN-016,2025-06-14T10:00:00,AWS,1300.00,Infrastructure,completed
TXN-017,2025-06-14T14:00:00,GCP,1800.00,Infrastructure,completed
TXN-018,2025-06-15T14:01:00,AWS,12500.00,Infrastructure,completed
TXN-019,2025-06-15T14:03:00,AWS,18700.00,Infrastructure,completed
TXN-020,2025-06-15T14:05:00,GCP,9800.00,Infrastructure,completed
TXN-021,2025-06-15T14:08:00,AWS,22000.00,Infrastructure,completed
TXN-022,2025-06-15T14:10:00,Datadog,8500.00,Infrastructure,completed
TXN-023,2025-06-15T14:12:00,AWS,15300.00,Infrastructure,completed
TXN-024,2025-06-15T14:15:00,GCP,11200.00,Infrastructure,completed
TXN-025,2025-06-15T14:18:00,Stripe,3200.00,Payments,failed
TXN-026,2025-06-15T14:20:00,Stripe,1890.00,Payments,failed
TXN-027,2025-06-15T14:22:00,Stripe,4500.00,Payments,failed
TXN-028,2025-06-15T14:25:00,AWS,28000.00,Infrastructure,completed
TXN-029,2025-06-15T14:28:00,Stripe,2700.00,Payments,failed
TXN-030,2025-06-15T14:30:00,GCP,14500.00,Infrastructure,completed
TXN-031,2025-06-15T14:35:00,Stripe,1100.00,Payments,failed
TXN-032,2025-06-15T14:40:00,AWS,19800.00,Infrastructure,completed
TXN-033,2025-06-15T14:45:00,Stripe,5200.00,Payments,failed
TXN-034,2025-06-15T14:50:00,Datadog,7200.00,Infrastructure,completed
TXN-035,2025-06-15T14:55:00,Stripe,3800.00,Payments,failed
TXN-036,2025-06-15T15:00:00,AWS,16400.00,Infrastructure,completed
TXN-037,2025-06-15T15:10:00,Stripe,2300.00,Payments,failed
TXN-038,2025-06-15T15:15:00,GCP,13100.00,Infrastructure,completed
TXN-039,2025-06-15T15:20:00,Stripe,4100.00,Payments,failed
TXN-040,2025-06-15T15:30:00,AWS,21500.00,Infrastructure,completed
TXN-041,2025-06-15T15:40:00,Stripe,1650.00,Payments,failed
TXN-042,2025-06-15T15:50:00,AWS,11800.00,Infrastructure,completed
TXN-043,2025-06-15T16:00:00,GCP,8900.00,Infrastructure,completed
TXN-044,2025-06-15T16:30:00,Stripe,2400.00,Payments,completed
TXN-045,2025-06-15T17:00:00,AWS,2200.00,Infrastructure,completed
TXN-046,2025-06-16T09:00:00,AWS,1400.00,Infrastructure,completed
TXN-047,2025-06-16T11:00:00,Stripe,1800.00,Payments,completed
TXN-048,2025-06-17T14:00:00,HubSpot,3500.00,Marketing,completed
TXN-049,2025-06-18T10:00:00,Datadog,1700.00,Analytics,completed
TXN-050,2025-06-20T08:00:00,AWS,1150.00,Infrastructure,completed
